Feature/Button Name,Location,User Action,API Call,Request Parameters,Backend Response Structure,Database Queries,Calculations Performed,Layers Accessed,Statistics Displayed,Calculation Method,Verification Status
"Impact Matrix - Climate Toggle","src/components/impact-matrix/ImpactMatrix.tsx:120","Click climate button (Present/Future)","None","N/A","N/A","N/A","Updates selectedClimate state","No calculation","No layers accessed","No stats displayed","State update","✅ VERIFIED"
"Impact Matrix - View Switcher","src/components/impact-matrix/ImpactMatrix.tsx:67","Select view (summary/detail/compare)","None","N/A","N/A","N/A","Updates currentView state","No calculation","No layers accessed","No stats displayed","State update","✅ VERIFIED"
"Depth Threshold Slider","src/components/impact-matrix/components/DepthThresholdSlider.tsx:27","Drag slider to set minimum flood depth (0-5m)","None","N/A","N/A","N/A","Updates depthThreshold state","Filters scenarios by depth","No layers directly","Updates heatmap and detail views","State update + filter","✅ VERIFIED"
"Summary Heatmap - Scenario Cell Click","src/components/impact-matrix/views/SummaryHeatmapView.tsx:98","Click scenario cell to view details","None","N/A","N/A","N/A","Updates selectedScenario state","No calculation","No layers accessed","Displays affected count (0-9)","State update","✅ VERIFIED"
"Summary Heatmap - Affected Count Display","src/components/impact-matrix/views/SummaryHeatmapView.tsx:67","View heatmap cell","None","N/A","N/A","N/A","Displays totalAffectedExposures","Count of exposures with affectedFeatures > depthThreshold","No layers","0-9 exposure types affected","Direct count from API","✅ VERIFIED"
"Scenario Matrix - Color Coding","src/components/impact-matrix/views/SummaryHeatmapView.tsx:12","View heatmap cell background color","None","N/A","N/A","N/A","No calculation","No layers accessed","No stats","Color based on return period intensity","HSL color mapping","✅ VERIFIED"
"Detail View - Back to Summary","src/components/impact-matrix/views/DetailedBreakdownView.tsx:154","Click back button","None","N/A","N/A","N/A","Updates currentView to summary","No calculation","No layers accessed","No stats","State update","✅ VERIFIED"
"Detail View - Refresh Button","src/components/impact-matrix/views/DetailedBreakdownView.tsx:218","Click refresh icon","useImpactData hook refetch","climate: present|future","{success: true, data: {climate, summaries[], metadata: {lastUpdated, totalScenarios}}}","SELECT FROM impact_summary_matview LEFT JOIN population_stats WHERE climate = $1","No frontend calc","No layers","Re-fetches all scenario data","API refetch","✅ VERIFIED"
"Detail View - Toggle All Layers","src/components/impact-matrix/views/DetailedBreakdownView.tsx:194","Click 'Toggle All' button","None","N/A","N/A","N/A","Toggles visibility for all 9 exposure layers","No calculation","Yes - impact layers for selected scenario","No stats","Calls handleLayerToggle for each layer","✅ VERIFIED"
"Detail View - Layer Toggle (Individual)","src/components/impact-matrix/views/DetailedBreakdownView.tsx:178","Click layer visibility toggle","None","N/A","N/A","N/A","Toggles single layer on/off","No calculation","Yes - individual impact layer","No stats","Layer name from geoserverLayer property","✅ VERIFIED"
"Detail View - Population Card","src/components/impact-matrix/views/DetailedBreakdownView.tsx:133","View population summary card","None","N/A","N/A","N/A","Displays: total, affected, percentage","populationImpact.affectedPopulation / populationImpact.totalPopulation * 100","No layers","Total: 262,993 (example)","% calculation from API data","✅ VERIFIED"
"Detail View - Infrastructure Card","src/components/impact-matrix/views/DetailedBreakdownView.tsx:140","View infrastructure summary card","None","N/A","N/A","N/A","Displays: average % of Roads, Railways, Electric Grid, Telecom","(sum of affectedFeatures) / (sum of totalFeatures) * 100 for 4 layers","No layers","Infrastructure Impact %","Averaging 4 layer percentages","✅ VERIFIED"
"Detail View - Ag/Buildings Card","src/components/impact-matrix/views/DetailedBreakdownView.tsx:152","View agriculture/buildings summary card","None","N/A","N/A","N/A","Displays: average % of Cropped Area, Buildings","(sum of affectedFeatures) / (sum of totalFeatures) * 100 for 2 layers","No layers","Ag & Buildings Impact %","Averaging 2 layer percentages","✅ VERIFIED"
"Detail View - Severity Card","src/components/impact-matrix/views/DetailedBreakdownView.tsx:164","View overall severity card","None","N/A","N/A","N/A","Displays: severity level (Low/Medium/High/Extreme)","Count of layers with affectedFeatures > 0","No layers","Severity: Low/Medium/High/Extreme","Based on affectedLayersCount: 0-2=low, 3-5=medium, 6-7=high, 8-9=extreme","✅ VERIFIED"
"Detail View - Sort Selector","src/components/impact-matrix/views/DetailedBreakdownView.tsx:88","Select sort option (name/affected/depth)","None","N/A","N/A","N/A","Reorders exposure layers array","No calculation","No layers","No stats","Array sort with comparison function","✅ VERIFIED"
"ExposureRow - Layer Row","src/components/impact-matrix/components/ExposureRow.tsx","View exposure layer row","None","N/A","N/A","N/A","Displays layer name, affected/total, %, max depth bin","affectedFeatures / totalFeatures * 100","No layers","Affected: X of Total (Y%)","Percentage calculation","✅ VERIFIED"
"ExposureRow - Layer Toggle","src/components/impact-matrix/components/ExposureRow.tsx","Click layer toggle button","None","N/A","N/A","N/A","Toggles layer visibility","No calculation","Yes - impact layer","No stats","Calls onLayerToggle callback","✅ VERIFIED"
"ExposureRow - Depth Distribution Chart","src/components/impact-matrix/components/DepthDistributionChart.tsx","View depth distribution bar chart","None","N/A","N/A","N/A","Displays horizontal bar chart with depth bins","No calculation","No layers","Depth percentages by bin (15-100cm, 1-2m, 2-3m, 3-4m, 4-5m, above5m)","Data from API depthBins array","✅ VERIFIED"
"DepthDistributionChart - Bar Rendering","src/components/impact-matrix/components/DepthDistributionChart.tsx","View chart bars","None","N/A","N/A","N/A","Renders bars with width % and color gradient","No calculation","No layers","Depth bin % with color scale","Bar width = percentage * 100%","✅ VERIFIED"
"ImpactCell - Heatmap Cell","src/components/impact-matrix/components/ImpactCell.tsx","View impact cell","None","N/A","N/A","N/A","Displays affected count with colored background","No calculation","No layers","Affected: X (Y types)","Displays totalAffectedExposures","✅ VERIFIED"
"ImpactData Hook - Fetch Data","src/components/impact-matrix/hooks/useImpactData.ts:45","Auto-fetch on mount/query change","GET /api/impact/summary","climate={present|future}&maintenance={breaches|redcapacity|perfect}&returnPeriod={2.3|5|10|25|50|100|500}","{success: true, data: {climate, summaries: [{scenarioId, climate, maintenance, returnPeriod, totalAffectedExposures, severity, impacts: {}, populationImpact: {}}], metadata: {lastUpdated, totalScenarios}}}","SELECT m.*, p.* FROM impact_summary_matview m LEFT JOIN impact.population_stats p ON m.climate = p.climate AND m.maintenance = p.maintenance AND m.return_period = p.return_period WHERE m.climate = $1 ORDER BY m.return_period_num, m.maintenance, m.exposure_type","Group by scenario, calculate severity, build layer names","No layers","42 scenarios (present or future)","Materialized view + population stats JOIN","✅ VERIFIED"
"ImpactData Hook - Auto-Refresh","src/components/impact-matrix/hooks/useImpactData.ts:96","Auto-refresh at interval","GET /api/impact/summary","Same as above","Same as above","Same as above","Same as above","No layers","Same as above","setInterval with refetchInterval","✅ VERIFIED"
